n_nodes,influence,communities,nodes
83.0,791.51,0.13300710602943977,"[2, 2564, 517, 7, 511, 534, 538, 1052, 30, 1065, 1067, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 4233, 1163, 656, 145, 666, 1183, 160, 1709, 229, 747, 1146, 1277, 4356, 1806, 2856, 2374, 1687, 1195, 2735, 1409, 207, 220, 1221, 190, 255, 690, 699, 3712, 4225, 331, 1362, 350, 877, 886, 1405, 410, 934, 4355, 773, 775, 902, 322, 2377, 1853, 1404, 1421, 1425, 408, 796, 286, 3885, 942, 2993, 1535, 958, 469, 2013, 990, 483, 1018]"
17.000000000000004,275.9,0.013622599109580857,"[2, 4356, 517, 902, 7, 775, 1421, 144, 4429, 322, 408, 2374, 2682, 2090, 1643, 699, 190]"
24.0,390.51,0.0638656813770987,"[3712, 6146, 2564, 517, 7, 775, 1287, 1687, 408, 1052, 29, 30, 31, 160, 796, 286, 699, 5191, 1362, 2013, 1146, 1404, 255, 6523]"
51.0,577.49,0.01648807460685464,"[3712, 4225, 2, 4356, 517, 6797, 656, 408, 1052, 30, 31, 160, 286, 1183, 1065, 2090, 3885, 942, 1200, 1457, 439, 1082, 699, 1084, 59, 190, 5181, 958, 58, 1470, 322, 1853, 1221, 1350, 5191, 196, 2377, 2634, 1995, 1362, 469, 220, 2013, 483, 229, 1643, 1146, 892, 1277, 1535, 4119]"
82.0,788.58,0.13835687026143173,"[517, 7, 534, 538, 1052, 29, 30, 31, 1065, 1067, 1535, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 690, 699, 190, 1221, 207, 220, 229, 747, 1277, 255, 4355, 4356, 773, 775, 1806, 796, 286, 2856, 1853, 322, 2374, 2377, 331, 1362, 350, 877, 886, 1404, 1405, 1409, 902, 1421, 1425, 408, 410, 934, 942, 2993, 958, 469, 2013, 990, 483, 1018, 511]"
76.0,761.77,0.04086967286880028,"[517, 538, 1052, 29, 30, 2090, 1067, 1072, 58, 59, 60, 5181, 1082, 1089, 579, 5191, 2634, 2665, 1643, 3712, 4225, 144, 656, 145, 1687, 1183, 1701, 1709, 2735, 1200, 690, 699, 190, 196, 1221, 220, 733, 734, 230, 747, 1274, 255, 4355, 4356, 773, 775, 1287, 796, 286, 3885, 1853, 322, 2374, 1350, 2377, 3934, 877, 1404, 892, 902, 5515, 915, 408, 936, 942, 2993, 1457, 439, 958, 469, 2013, 990, 483, 1510, 6129, 1018]"
66.0,662.4,0.009952080819379594,"[3712, 4225, 2, 4355, 773, 517, 7, 775, 1274, 902, 31, 5515, 720, 1687, 408, 538, 796, 2489, 959, 1272, 1163, 1146, 1117, 1052, 428, 768, 1200, 690, 934, 699, 5181, 190, 1194, 196, 34, 469, 220, 2360, 1405, 733, 1404, 1289, 1425, 30, 20, 2665, 666, 236, 2090, 2634, 2374, 4356, 1287, 255, 1421, 747, 144, 915, 1183, 1709, 877, 942, 1457, 439, 1350, 1510]"
77.0,745.64,0.011681300718014875,"[2, 517, 7, 511, 538, 1052, 29, 2090, 4, 1067, 1072, 58, 59, 30, 60, 5181, 1089, 579, 2634, 2665, 1643, 958, 6129, 1082, 1018, 5515, 990, 483, 1510, 747, 1274, 734, 255, 230, 3712, 4225, 4355, 4356, 773, 1287, 775, 1709, 2735, 196, 220, 733, 1221, 902, 190, 1183, 1421, 144, 1404, 877, 145, 699, 1200, 3934, 656, 915, 1350, 2377, 1687, 408, 1853, 286, 796, 690, 936, 942, 1457, 322, 2993, 3885, 439, 469, 2013]"
96.0,833.32,0.06594858969362927,"[3712, 4225, 517, 1146, 4233, 775, 1163, 160, 1806, 656, 145, 1687, 408, 538, 1065, 1052, 30, 1183, 666, 2735, 286, 1067, 3885, 1709, 1072, 1200, 59, 690, 5181, 942, 60, 1089, 190, 5191, 958, 2377, 1221, 1350, 699, 2374, 207, 2634, 1117, 1362, 220, 229, 2013, 483, 720, 105, 2665, 734, 230, 1274, 255, 768, 4356, 773, 1287, 796, 1853, 2370, 322, 331, 3934, 350, 877, 1404, 902, 5515, 1425, 915, 3988, 410, 934, 430, 2993, 1457, 439, 1463, 2489, 955, 959, 962, 469, 1498, 1269, 482, 1510, 6129, 1011, 502, 2550, 508, 4606, 511]"
96.0,848.06,0.13604486561728513,"[517, 7, 534, 538, 1052, 29, 30, 31, 1065, 1067, 1535, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 690, 699, 190, 1221, 207, 220, 229, 747, 1277, 255, 4355, 4356, 773, 775, 1806, 796, 286, 2856, 1853, 322, 2374, 2377, 331, 1362, 350, 877, 886, 1404, 1405, 1409, 902, 5515, 1421, 1425, 915, 408, 410, 934, 936, 428, 1457, 2993, 1463, 2489, 958, 959, 962, 469, 2013, 990, 483, 1510, 6129, 1011, 2550, 1527, 1018, 508, 511]"
