spread-min,spread-max,spread-1q,spread-3q,spread-median,spread-mean,seed-min,seed-max,seed-1q,seed-3q,seed-median,seed-mean,communities-min,communities-max,communities-1q,communities-3q,communities-median,communities-mean,fairness-min,fairness-max,fairness-1q,fairness-3q,fairness-median,fairness-mean,budget-min,budget-max,budget-1q,budget-3q,budget-median,budget-mean,time-min,time-max,time-1q,time-3q,time-median,time-mean
0.0012071893574865553,0.11717237475233513,0.05309545711859609,0.10638196999716953,0.08136215680724596,0.07674664388823745,0.07,1.0,0.2125,0.7324999999999999,0.495,0.48142857142857143,0.3008228656119263,0.9594249937747896,0.9156347736443046,0.9502709530890632,0.9374527045567247,0.9055871400465331,0.1674453888423022,0.9624076868836032,0.7696658120141986,0.885919640540173,0.8656145284400669,0.8026239733573298,-0.1163474643138942,0.9914640269708055,0.03938921167778492,0.6307833010544437,0.3369557420558066,0.34635248547449965,0.19999999999999996,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.2214285714285714
0.0012071893574865553,0.11717237475233513,0.054329889612227567,0.0984220209453722,0.07831163317294085,0.07536235855249292,0.07,1.0,0.28,0.725,0.52,0.5019148936170212,0.3008228656119263,0.9594249937747896,0.9112656835782635,0.9487639397218302,0.9369565058921154,0.9129654297197635,0.1674453888423022,0.9624076868836032,0.7720191438606392,0.882946322823912,0.8506533602668582,0.809067892586698,-0.1163474643138942,0.9914640269708055,0.13612725055591424,0.6310164263682663,0.3799942615307367,0.3756156263401844,0.19999999999999996,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.21276595744680835
0.0012071893574865553,0.11717237475233513,0.049232946504387205,0.09712354939145203,0.06828474384375885,0.07175813158031115,0.07,1.0,0.315,0.75,0.59,0.5376056338028169,0.3008228656119263,0.9594249937747896,0.9115734443417174,0.9468130954420471,0.9301855337785908,0.9158127544247003,0.1674453888423022,0.9522550703156499,0.7740483732997029,0.8841919659598871,0.8534105336593698,0.821168585227287,-0.1163474643138942,0.9914640269708055,0.15027616383329745,0.6524460225234918,0.470339286995194,0.41549800921590085,0.19999999999999996,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.208450704225352
0.006633172940843476,0.11717237475233513,0.04760118879139542,0.09119728276252477,0.06225021228417776,0.06838289674314985,0.07,1.0,0.43,0.76,0.66,0.5766666666666667,0.49402913748332644,0.9594249937747896,0.9100103247812933,0.9462558168529803,0.9327926770731398,0.9202263647972815,0.1674453888423022,0.9578539942662861,0.8093508214235253,0.8837408236506014,0.8574555546045168,0.8313779268122098,-0.1163474643138942,0.9733519833584391,0.26651603184850436,0.6787891829854387,0.5190804103005524,0.4542769721553119,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1999999999999999
0.006633172940843476,0.11717237475233513,0.04520768468723464,0.09301337390319842,0.06277809227285593,0.06793188036607227,0.07,1.0,0.3925,0.78,0.655,0.5800877192982457,0.49402913748332644,0.9631108046965333,0.915026269046343,0.9475913474398048,0.934864838333706,0.9226379663935012,0.1674453888423022,0.9578539942662861,0.8212600143780041,0.8886858616600207,0.8579359943152429,0.8378016367332214,-0.1163474643138942,0.9733519833584391,0.23381572340578147,0.6913331181407361,0.5217882504841834,0.45716692024156935,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999998
0.006633172940843476,0.11717237475233513,0.04420145768468724,0.09870506651570903,0.07415440135861874,0.07039405555501332,0.07,1.0,0.31,0.8,0.58,0.5599137931034484,0.49402913748332644,0.9631108046965333,0.9128548928397524,0.9496187001190899,0.9369803647988507,0.9233923416058919,0.1674453888423022,0.9578539942662861,0.8235078071246335,0.8989451439928273,0.8641900107364389,0.8411282657013195,-0.1163474643138942,0.9733519833584391,0.15324402840542287,0.7115522559357292,0.42172369270497095,0.4320278934128804,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.006633172940843476,0.11717237475233513,0.04893433342768185,0.09913105009906595,0.07906170393433343,0.07352600056609114,0.07,1.0,0.3,0.76,0.54,0.5368800000000001,0.49402913748332644,0.9631108046965333,0.916143262560916,0.9509922576391726,0.9409395599220071,0.9259834939128411,0.1674453888423022,0.9566295655423704,0.824583506032582,0.8958408585450153,0.8709313972868359,0.8405593695898781,-0.1163474643138942,0.9733519833584391,0.12222939530880139,0.6783946632235851,0.3970303421562298,0.40247356717595584,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999998
0.006633172940843476,0.11717237475233513,0.05087036512878573,0.09976507217662044,0.08156241154825927,0.07517142907294896,0.07,1.0,0.3,0.76,0.53,0.5265116279069768,0.49402913748332644,0.9631108046965333,0.9203477557784279,0.9514542836842875,0.9411050485362027,0.9274534898514488,0.1674453888423022,0.951873226379011,0.8239903214272049,0.8958408585450153,0.8775473713004458,0.8425657258671956,-0.1163474643138942,0.9733519833584391,0.11304784448748295,0.6459364464529087,0.36869665016856756,0.3870099850477289,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.006633172940843476,0.11717237475233513,0.05591105292952166,0.10056892159637701,0.0848570619869799,0.07734580449270514,0.07,1.0,0.2875,0.7224999999999999,0.49,0.5087121212121212,0.49402913748332644,0.9631108046965333,0.9259767514648527,0.9522989606194201,0.943626833386719,0.928951049227452,0.1674453888423022,0.951873226379011,0.8330359274317227,0.8983971454339741,0.8799611190104302,0.8432101709382686,-0.1163474643138942,0.9733519833584391,0.10676242737249836,0.6160695072089519,0.32727207517394735,0.3656440127550521,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999993
0.0040008491367110105,0.11717237475233513,0.0562567223322955,0.10126238324370224,0.08374893857911124,0.07696529275696146,0.07,1.0,0.29,0.73,0.52,0.512551724137931,0.49402913748332644,0.9631108046965333,0.9256978656255003,0.9522278121379575,0.9428973928882252,0.9268823673979919,0.1674453888423022,0.9858507326844008,0.8388517465003096,0.8989886562580138,0.8799885496824841,0.8415893247776353,-0.1163474643138942,0.977835162470411,0.11003514812423787,0.6198264113047844,0.34760777562585177,0.3692430414876487,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20137931034482756
