heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,wiki-vote_di,0,0,0.0065326917633739025,0.003329436719201735,0.001093869112505048,0.006358608484549327,0.00130653835267478
CELF,WC,wiki-vote_di,0,1,0.011827356354373054,0.009085707611520586,0.004369355942162049,0.011342604139644503,0.00236547127087461
CELF,WC,wiki-vote_di,0,2,0.018472105859043308,0.016071999746297652,0.010634848209720393,0.017423019420548202,0.003694421171808661
CELF,WC,wiki-vote_di,0,3,0.022619247098782904,0.020167508742923137,0.012886151574260457,0.02110297141152436,0.00452384941975658
CELF,WC,wiki-vote_di,0,4,0.025655759977356352,0.023222655396152696,0.01454465141697001,0.023732176415273025,0.005131151995471269
CELF,WC,wiki-vote_di,0,5,0.027723549391452027,0.025060884783104278,0.015982885299396295,0.025505764530834966,0.005544709878290404
CELF,WC,wiki-vote_di,0,6,0.031121171808661193,0.028103063357134868,0.01790025745512462,0.02834467169150213,0.006224234361732237
CELF,WC,wiki-vote_di,0,7,0.03282691763373903,0.02962415645423081,0.018921886513332223,0.029758785268242476,0.006565383526747804
CELF,WC,wiki-vote_di,0,8,0.03495960939711293,0.03152587139381096,0.028340023422713294,0.031491511274831276,0.006991921879422584
CELF,WC,wiki-vote_di,0,9,0.03624875459949052,0.03267244039920578,0.029383526318885016,0.03252760821336077,0.007249750919898102
CELF,WC,wiki-vote_di,0,10,0.03909548542315312,0.03529716562654701,0.031686852593075944,0.03478298027758525,0.007819097084630623
CELF,WC,wiki-vote_di,0,11,0.03938392301160486,0.035614038339112274,0.0319134983528141,0.03500869650104226,0.00787678460232097
CELF,WC,wiki-vote_di,0,12,0.041437588451740726,0.03744888741716824,0.03351279654244284,0.03660201444096835,0.008287517690348143
CELF,WC,wiki-vote_di,0,13,0.04267376167562978,0.038544288757946576,0.03445886527348343,0.03754628017952329,0.008534752335125954
CELF,WC,wiki-vote_di,0,14,0.044075856212850276,0.039847139981144274,0.03718395019150831,0.038606123249118704,0.008815171242570053
CELF,WC,wiki-vote_di,0,15,0.04572870082083215,0.04143779920766529,0.03856548192610281,0.0398392062665002,0.009145740164166428
