heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,WC,gnutella_di,0,60,0.351500238133037,0.4,0.009684076837593269,0.9193321485479363,0.6977716357944314,0.44958924570575054,0.0
CELF,WC,gnutella_di,0,61,0.35610731862200345,0.39,0.009842832195586602,0.920495359233986,0.6981200738359044,0.44212098581030623,0.0
CELF,WC,gnutella_di,0,62,0.35804730909668203,0.38,0.010001587553579933,0.9241813753927621,0.6939924657283978,0.43838685586258397,0.0
CELF,WC,gnutella_di,0,63,0.3567582155897761,0.37,0.010160342911573266,0.9231004718628099,0.6971728965316482,0.43091859596713966,0.0
CELF,WC,gnutella_di,0,64,0.3627353548182251,0.36,0.010319098269566599,0.9260146472514547,0.6939363754860837,0.42345033607169524,0.0
CELF,WC,gnutella_di,0,65,0.36372757580568343,0.35,0.01047785362755993,0.9238078077289313,0.6884129384653304,0.41598207617625094,0.0
CELF,WC,gnutella_di,0,66,0.36974122876647086,0.34,0.010636608985553263,0.9235530429117023,0.691742821563714,0.4085138162808065,0.0
CELF,WC,gnutella_di,0,67,0.37095888236227975,0.33,0.010795364343546594,0.9252649782478723,0.6937037916519995,0.4010455563853622,0.0
CELF,WC,gnutella_di,0,68,0.37519606286712176,0.32,0.010954119701539927,0.9272870071556586,0.6940433553825737,0.3935772964899178,0.0
CELF,WC,gnutella_di,0,69,0.37677250357199554,0.31,0.01111287505953326,0.9257731199321282,0.6986467338893544,0.38685586258401794,0.0
CELF,WC,gnutella_di,0,70,0.3795126210509605,0.3,0.011271630417526591,0.928151327886662,0.6988125768239317,0.3793876026885735,0.0
CELF,WC,gnutella_di,0,71,0.38270519130020636,0.29,0.011430385775519924,0.9269938923247726,0.700054245159998,0.3786407766990292,0.0
CELF,WC,gnutella_di,0,72,0.3862692490871567,0.28,0.011589141133513257,0.9265128280615552,0.6988654380200732,0.37117251680358476,0.0
CELF,WC,gnutella_di,0,73,0.3884870614383235,0.27,0.011747896491506588,0.9302235837405619,0.6986089034092371,0.3644510828976848,0.0
CELF,WC,gnutella_di,0,74,0.3885807270995396,0.26,0.01190665184949992,0.9290877521858263,0.7017115376950581,0.3569828230022405,0.0
CELF,WC,gnutella_di,0,75,0.3921463724400699,0.25,0.012065407207493254,0.9296434107023184,0.7018129289471517,0.3502613890963405,0.0
CELF,WC,gnutella_di,0,76,0.3949690427051913,0.24,0.012224162565486585,0.9321336368365339,0.7023399965332299,0.3427931292008962,0.0
CELF,WC,gnutella_di,0,77,0.3936831243054453,0.23,0.012382917923479918,0.9294971212396315,0.7006953858010393,0.3353248693054518,0.0
CELF,WC,gnutella_di,0,78,0.3943403714875377,0.22,0.012541673281473249,0.929317734800296,0.7007140330430277,0.32860343539955195,0.0
CELF,WC,gnutella_di,0,79,0.40296237498015564,0.21,0.012700428639466582,0.929977029819522,0.7083946994108095,0.32113517550410753,0.0
CELF,WC,gnutella_di,0,80,0.3996936021590729,0.2,0.012859183997459915,0.9314089194549764,0.7083037780625951,0.31441374159820756,0.0
CELF,WC,gnutella_di,0,81,0.40483886331163677,0.19,0.013017939355453246,0.9319965088767872,0.7098686976310654,0.30694548170276326,0.0
CELF,WC,gnutella_di,0,82,0.4067042387680584,0.18,0.013176694713446579,0.9313039800026112,0.7096836008187295,0.29947722180731895,0.0
CELF,WC,gnutella_di,0,83,0.4071995554849976,0.17,0.013335450071439912,0.9335526245049166,0.7094851489864933,0.29200896191187453,0.0
CELF,WC,gnutella_di,0,84,0.409239561835212,0.16,0.013494205429433243,0.9310754800462743,0.7067672247522963,0.2845407020164302,0.0
CELF,WC,gnutella_di,0,85,0.41289887283695825,0.15,0.013652960787426576,0.9314983069547795,0.7087266167927813,0.2770724421209858,0.0
CELF,WC,gnutella_di,0,86,0.41293062390855695,0.14,0.013811716145419909,0.9299610528235278,0.7053958603518944,0.27333831217326365,0.0
CELF,WC,gnutella_di,0,87,0.4147451976504207,0.13,0.01397047150341324,0.934570174594384,0.7062957081450905,0.26587005227781924,0.0
CELF,WC,gnutella_di,0,88,0.4173837117002699,0.12,0.014129226861406573,0.9333434788630218,0.7061337313454157,0.25840179238237493,0.0
CELF,WC,gnutella_di,0,89,0.41958406096205747,0.11,0.014287982219399904,0.934225413240186,0.7296452486852765,0.25168035847647496,0.0
CELF,WC,gnutella_di,0,90,0.4191697094776949,0.1,0.014446737577393237,0.933394818996149,0.7288824748633362,0.24421209858103066,0.0
CELF,WC,gnutella_di,0,91,0.4213605334180029,0.09,0.01460549293538657,0.9342463270748195,0.7260219032704816,0.2374906646751307,0.0
CELF,WC,gnutella_di,0,92,0.4223194157802826,0.08,0.014764248293379901,0.9353247674796186,0.7263384933005698,0.23002240477968638,0.0
CELF,WC,gnutella_di,0,93,0.4228306080330211,0.07,0.014923003651373234,0.9348642385350265,0.7271117897091716,0.2083644510828977,0.0
CELF,WC,gnutella_di,0,94,0.4270455627877441,0.06,0.015081759009366567,0.9354794169831395,0.7260029510377761,0.20164301717699773,0.0
CELF,WC,gnutella_di,0,95,0.43085569137958407,0.05,0.015240514367359898,0.9387637989452217,0.7258018339938626,0.19417475728155342,0.0
CELF,WC,gnutella_di,0,96,0.4309969836481981,0.04,0.01539926972535323,0.9376918418743986,0.7257174921313752,0.186706497386109,0.0
CELF,WC,gnutella_di,0,97,0.4303667248769646,0.03,0.015558025083346564,0.9353439857789365,0.7254513311062891,0.17998506348020915,0.0
CELF,WC,gnutella_di,0,98,0.43342117796475627,0.02,0.015716780441339895,0.93685136999323,0.7302873976430768,0.17251680358476473,0.0
CELF,WC,gnutella_di,0,99,0.43636608985553266,0.01,0.015875535799333228,0.9360628013084372,0.7299502870840797,0.16504854368932043,0.0
CELF,WC,gnutella_di,1,0,0.018344181616129544,1.0,0.00015875535799333228,0.6216121048511051,0.1674453888423023,0.964152352501867,0.19999999999999996
CELF,WC,gnutella_di,1,1,0.0345594538815685,0.99,0.00031751071598666456,0.7375674377912274,0.1674453888423023,0.9566840926064227,0.0
CELF,WC,gnutella_di,1,2,0.04556437529766629,0.98,0.0004762660739799968,0.7726192452154196,0.21153624427227113,0.9507094846900672,0.0
CELF,WC,gnutella_di,1,3,0.0552643276710589,0.97,0.0006350214319733291,0.7779738577073047,0.24999406095541998,0.9439880507841673,0.0
CELF,WC,gnutella_di,1,4,0.06514684870614383,0.96,0.0007937767899666614,0.781338608794047,0.25132084429049284,0.936519790888723,0.0
CELF,WC,gnutella_di,1,5,0.07590411176377203,0.95,0.0009525321479599936,0.7980458320064316,0.2513186769693697,0.9290515309932785,0.0
CELF,WC,gnutella_di,1,6,0.0858215589776155,0.94,0.001111287505953326,0.8054154018009758,0.2870651468036154,0.9215832710978342,0.0
CELF,WC,gnutella_di,1,7,0.09381965391331958,0.93,0.0012700428639466582,0.8192536967935046,0.320525257662605,0.9141150112023898,0.0
CELF,WC,gnutella_di,1,8,0.10356723289411018,0.92,0.0014287982219399905,0.8423451764658261,0.35235739672869415,0.9066467513069455,0.0
CELF,WC,gnutella_di,1,9,0.11062232100333386,0.91,0.0015875535799333227,0.8462317822101566,0.3474300738127215,0.8924570575056012,0.0
CELF,WC,gnutella_di,1,10,0.12134148277504367,0.9,0.001746308937926655,0.8626333364134318,0.3730429267295162,0.8849887976101568,0.0
CELF,WC,gnutella_di,1,11,0.12658675980314335,0.89,0.0019050642959199872,0.8649454249149451,0.40221422047846156,0.8775205377147125,0.0
CELF,WC,gnutella_di,1,12,0.1341451023972059,0.88,0.0020638196539133195,0.8700264771040407,0.4312333070578116,0.8700522778192681,0.0
CELF,WC,gnutella_di,1,13,0.13954595967613906,0.87,0.002222575011906652,0.8663648998664699,0.4287488698816543,0.8625840179238238,0.0
CELF,WC,gnutella_di,1,14,0.15085886648674393,0.86,0.002381330369899984,0.8556408838713361,0.45726648889692956,0.8371919342793129,0.0
CELF,WC,gnutella_di,1,15,0.16028258453722813,0.85,0.0025400857278933165,0.8693600155824562,0.4856931224457227,0.8244958924570576,0.0
CELF,WC,gnutella_di,1,16,0.16587712335291316,0.84,0.0026988410858866485,0.8730864071695748,0.4856432534555488,0.8170276325616131,0.0
CELF,WC,gnutella_di,1,17,0.17569455469122083,0.83,0.002857596443879981,0.8795374387999813,0.5108546972025931,0.8095593726661687,0.0
CELF,WC,gnutella_di,1,18,0.18274646769328462,0.82,0.0030163518018733134,0.8788146698509613,0.5379243342179325,0.8020911127707244,0.0
CELF,WC,gnutella_di,1,19,0.18838228290204792,0.81,0.0031751071598666455,0.8859358027917029,0.5275960922728482,0.7946228528752801,0.0
CELF,WC,gnutella_di,1,20,0.1937434513414828,0.8,0.003333862517859978,0.8858572156399969,0.5268126482728814,0.7871545929798357,0.0
CELF,WC,gnutella_di,1,21,0.20241308144149864,0.79,0.00349261787585331,0.8838250568284476,0.5208612938347182,0.7796863330843913,0.0
CELF,WC,gnutella_di,1,22,0.20515161136688365,0.78,0.0036513732338466424,0.8827604434583385,0.5210431660456447,0.772218073188947,0.0
CELF,WC,gnutella_di,1,23,0.21558660104778538,0.77,0.0038101285918399745,0.8858185916683474,0.5175528139927908,0.7647498132935027,0.0
CELF,WC,gnutella_di,1,24,0.21955866010477854,0.76,0.003968883949833307,0.8866584538418649,0.5146387657168082,0.7572815533980582,0.0
CELF,WC,gnutella_di,1,25,0.22533576758215593,0.75,0.004127639307826639,0.890302815585117,0.5379614453107626,0.7498132935026138,0.0
CELF,WC,gnutella_di,1,26,0.2288426734402286,0.74,0.004286394665819971,0.8911592399899044,0.532768013399457,0.7423450336071695,0.0
CELF,WC,gnutella_di,1,27,0.23370058739482458,0.73,0.004445150023813304,0.8923037754464421,0.5364309024250213,0.7348767737117252,0.0
CELF,WC,gnutella_di,1,28,0.2387283695824734,0.72,0.004603905381806636,0.8949158181552356,0.5607512779778474,0.7274085138162808,0.0
CELF,WC,gnutella_di,1,29,0.2473646610573107,0.71,0.004762660739799968,0.8962117177194703,0.5623933887168905,0.7199402539208364,0.0
CELF,WC,gnutella_di,1,30,0.2522479758691856,0.7,0.004921416097793301,0.8997180930212063,0.5680472075991089,0.7124719940253921,0.0
CELF,WC,gnutella_di,1,31,0.2576186696301,0.69,0.005080171455786633,0.9020573227062095,0.5686723629667572,0.7050037341299478,0.0
CELF,WC,gnutella_di,1,32,0.25846007302746465,0.68,0.005238926813779965,0.9041208771085186,0.56882779808169,0.6982823002240478,0.0
CELF,WC,gnutella_di,1,33,0.26025877123352914,0.67,0.005397682171773297,0.9020390922456978,0.5683451720663366,0.6915608663181478,0.0
CELF,WC,gnutella_di,1,34,0.26292109858707735,0.66,0.00555643752976663,0.8992754513953977,0.5927318565216044,0.6863330843913369,0.0
CELF,WC,gnutella_di,1,35,0.26926655024607077,0.65,0.005715192887759962,0.9035749012869124,0.5945431458862012,0.6788648244958925,0.0
CELF,WC,gnutella_di,1,36,0.27515637402762344,0.64,0.005873948245753294,0.9072236648951434,0.5997611747116112,0.671396564600448,0.0
CELF,WC,gnutella_di,1,37,0.2758215589776155,0.63,0.006032703603746627,0.9040310119725632,0.5996554813993094,0.6639283047050037,0.0
CELF,WC,gnutella_di,1,38,0.2805778695030957,0.62,0.006191458961739959,0.9013924925366177,0.6299916637395986,0.6564600448095594,0.0
CELF,WC,gnutella_di,1,39,0.2817193205270678,0.61,0.006350214319733291,0.9036690117218783,0.6243454318317663,0.648991784914115,0.0
CELF,WC,gnutella_di,1,40,0.28501984441974915,0.6,0.006508969677726623,0.9039722315483676,0.6244865106367059,0.6385362210604929,0.0
CELF,WC,gnutella_di,1,41,0.2850055564375298,0.59,0.006667725035719956,0.9038091374721806,0.6184425835296993,0.6310679611650485,0.0
CELF,WC,gnutella_di,1,42,0.2913732338466423,0.58,0.006826480393713288,0.905930659277519,0.6198174711233431,0.6235997012696042,0.0
CELF,WC,gnutella_di,1,43,0.2948468010795364,0.57,0.00698523575170662,0.9077590141847509,0.6181124142982045,0.6161314413741599,0.0
CELF,WC,gnutella_di,1,44,0.29960787426575647,0.56,0.007143991109699952,0.9075116718377287,0.6238164897164623,0.6086631814787155,0.0
CELF,WC,gnutella_di,1,45,0.30037625019844416,0.55,0.007302746467693285,0.9060166611095255,0.6227696650554948,0.601194921583271,0.0
