heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,IC,lastfm_un,0,0,0.012105194123819519,1.0,0.00013116474291710389,0.2409297129464184,0.1674453888423023,0.9717757742061937,0.19999999999999996
CELF,IC,lastfm_un,0,1,0.016066369359916052,0.99,0.00026232948583420777,0.3076411233270422,0.21229180943924442,0.950999607996864,0.0
CELF,IC,lastfm_un,0,2,0.022092077649527808,0.98,0.00039349422875131166,0.3390699857198062,0.24295671587482726,0.9371488305239776,0.0
CELF,IC,lastfm_un,0,3,0.02381427072402938,0.97,0.0005246589716684155,0.36445212103113056,0.27642377738028834,0.927218084411342,0.0
CELF,IC,lastfm_un,0,4,0.028031217208814272,0.96,0.0006558237145855194,0.3878741526845504,0.30782000311699964,0.9116686266823468,0.0
CELF,IC,lastfm_un,0,5,0.03099422875131165,0.95,0.0007869884575026233,0.39600881234404306,0.30976891593841627,0.9014765451456945,0.0
CELF,IC,lastfm_un,0,6,0.03183237145855194,0.94,0.0009181532004197271,0.40803904322600115,0.31119320544862816,0.8881484385208415,0.0
CELF,IC,lastfm_un,0,7,0.035352833158447006,0.93,0.001049317943336831,0.40485908229471224,0.31453097165419097,0.8748203318959885,0.0
CELF,IC,lastfm_un,0,8,0.03636673662119622,0.92,0.001180482686253935,0.4090874711664665,0.3182030426924022,0.8665882660394617,0.0
CELF,IC,lastfm_un,0,9,0.03991605456453305,0.91,0.0013116474291710388,0.4213315606918716,0.3174147785708563,0.8437214164379981,0.0
CELF,IC,lastfm_un,0,10,0.03959601259181532,0.9,0.0014428121720881427,0.4272051542391627,0.31789459360291306,0.8378413693976219,0.0
CELF,IC,lastfm_un,0,11,0.04236490031479538,0.89,0.0015739769150052466,0.440195917260063,0.3489663475517998,0.8283026264210114,0.0
CELF,IC,lastfm_un,0,12,0.04589585519412382,0.88,0.0017051416579223506,0.44218840343983534,0.3401995896075968,0.805827779955573,0.0
CELF,IC,lastfm_un,0,13,0.04431532004197272,0.87,0.0018363064008394543,0.44632600649987997,0.3421221958098062,0.8012544100352803,0.0
CELF,IC,lastfm_un,0,14,0.045190188877229795,0.86,0.001967471143756558,0.44257591915855565,0.34219808544222863,0.7956356984189207,0.0
CELF,IC,lastfm_un,0,15,0.04730194123819517,0.85,0.002098635886673662,0.44548734880353535,0.34433112788899256,0.782046256370051,0.0
CELF,IC,lastfm_un,0,16,0.04894674711437566,0.84,0.002229800629590766,0.4489744835906684,0.3473384008446163,0.7752515353456161,0.0
CELF,IC,lastfm_un,0,17,0.05048662119622246,0.83,0.00236096537250787,0.4548275347601791,0.3465397299844303,0.7684568143211812,0.0
CELF,IC,lastfm_un,0,18,0.051037513116474295,0.82,0.002492130115424974,0.4538919721396517,0.34773637222546927,0.7650594538089638,0.0
CELF,IC,lastfm_un,0,19,0.050347586568730326,0.81,0.0026232948583420775,0.4565915574071929,0.3489268616258957,0.7608780870246962,0.0
CELF,IC,lastfm_un,0,20,0.05169858342077649,0.8,0.0027544596012591817,0.45322981688631325,0.34976552345491296,0.7570887233764536,0.0
CELF,IC,lastfm_un,0,21,0.05259443861490032,0.79,0.0028856243441762854,0.4561092779058027,0.34496711501331445,0.7484646543839018,0.0
CELF,IC,lastfm_un,0,22,0.05275052465897167,0.78,0.003016789087093389,0.4590486057461045,0.34574270031769017,0.7465046387037764,0.0
