heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,lastfm_un,0,22,0.130032240293809,0.07860706309945334,0.05715782057089984,0.11047997585526678,0.005041109653725078
CELF,WC,lastfm_un,0,23,0.1313219700944386,0.08021517427525518,0.05776190449006493,0.11133052679003452,0.005041109653725078
CELF,WC,lastfm_un,0,24,0.13523262067156347,0.08266301847502534,0.059513880802435255,0.11385740083993423,0.005041109653725078
CELF,WC,lastfm_un,0,25,0.13806676285414482,0.08441495568252938,0.06077885726537776,0.11566313418401716,0.005041109653725078
CELF,WC,lastfm_un,0,26,0.14028656873032527,0.08662557047240942,0.061732909838600275,0.11706120870684347,0.005041109653725078
CELF,WC,lastfm_un,0,27,0.14167590503672614,0.08749404629257705,0.0623311285562487,0.11792516421215665,0.005041109653725078
CELF,WC,lastfm_un,0,28,0.14167590503672614,0.08749404629257705,0.0623311285562487,0.11792516421215665,0.005041109653725078
CELF,WC,lastfm_un,0,29,0.14448740818467998,0.08981430820448288,0.06354029093013625,0.11963528405453547,0.005041109653725078
CELF,WC,lastfm_un,0,30,0.14483538824763903,0.09008428113891268,0.06372551262604742,0.11984453588384913,0.005041109653725078
CELF,WC,lastfm_un,0,31,0.14483538824763903,0.09008428113891268,0.06372551262604742,0.11984453588384913,0.005041109653725078
CELF,WC,lastfm_un,0,32,0.14853061385099686,0.09303830941916555,0.06533249470615818,0.12199899774745593,0.005041109653725078
CELF,WC,lastfm_un,0,33,0.14995163955928648,0.0939454169711166,0.06600218688757567,0.12281711342375595,0.005041109653725078
CELF,WC,lastfm_un,0,34,0.15095150839454355,0.09516242217299027,0.06651244328109444,0.12338465951291794,0.005041109653725078
CELF,WC,lastfm_un,0,35,0.15220564008394546,0.09694227254796223,0.06708909786327133,0.12408768119690256,0.005041109653725078
CELF,WC,lastfm_un,0,36,0.1530837093389297,0.09769699647142617,0.06747890188541586,0.1245733557240616,0.005041109653725078
CELF,WC,lastfm_un,0,37,0.15687577387198323,0.10052530707188732,0.06917056289457643,0.12663265537117652,0.005041109653725078
CELF,WC,lastfm_un,0,38,0.15812732161594964,0.10134830313459794,0.06973156838535437,0.12729988584228366,0.005041109653725078
CELF,WC,lastfm_un,0,39,0.15866819254984263,0.10170308002522307,0.0699727154437472,0.12758526893794025,0.005041109653725078
CELF,WC,lastfm_un,0,40,0.1607694517313746,0.10314813785709046,0.07122465839077839,0.128679966488805,0.005041109653725078
CELF,WC,lastfm_un,0,41,0.16080969307450158,0.10317421166578256,0.07126534893042906,0.1287007155205545,0.005041109653725078
CELF,WC,lastfm_un,0,42,0.16342364900314796,0.10489011030187245,0.07248335708765757,0.1300307487606106,0.005041109653725078
CELF,WC,lastfm_un,0,43,0.16342364900314796,0.10494111908428345,0.07248335708765757,0.1300307487606106,0.005041109653725078
CELF,WC,lastfm_un,0,44,0.164637814795383,0.1057840310292428,0.07582641016210309,0.13063616580793436,0.005041109653725078
CELF,WC,lastfm_un,0,45,0.16521710388247637,0.10629637486169481,0.07610248753156626,0.13092168500779278,0.005041109653725078
CELF,WC,lastfm_un,0,46,0.16687237670514168,0.10854435041929339,0.07689243441722358,0.13172260951613324,0.005041109653725078
CELF,WC,lastfm_un,0,47,0.16726723504721933,0.10880866997424715,0.07707953217649274,0.13190948746138415,0.005041109653725078
CELF,WC,lastfm_un,0,48,0.16870228226652675,0.10975624234742055,0.07775911710409474,0.13257797607197228,0.005041109653725078
CELF,WC,lastfm_un,0,49,0.16870228226652675,0.10976005801119454,0.07775936995029264,0.13257797607197228,0.005041109653725078
